+ 0.452933 0 1 tcp 1040 ------- 0 0.0 1.0 53 87
r 0.4546 0 1 tcp 1040 ------- 0 0.0 1.0 34 51
+ 0.4546 1 0 ack 40 ------- 0 1.0 0.0 34 88
- 0.4546 1 0 ack 40 ------- 0 1.0 0.0 34 88
- 0.456533 0 1 tcp 1040 ------- 0 0.0 1.0 36 54
r 0.459867 1 0 ack 40 ------- 0 1.0 0.0 34 88
+ 0.459867 0 1 tcp 1040 ------- 0 0.0 1.0 54 89
r 0.461533 0 1 tcp 1040 ------- 0 0.0 1.0 35 53
+ 0.461533 1 0 ack 40 ------- 0 1.0 0.0 35 90
- 0.461533 1 0 ack 40 ------- 0 1.0 0.0 35 90
- 0.463467 0 1 tcp 1040 ------- 0 0.0 1.0 37 56
r 0.4668 1 0 ack 40 ------- 0 1.0 0.0 35 90
+ 0.4668 0 1 tcp 1040 ------- 0 0.0 1.0 55 91
r 0.468467 0 1 tcp 1040 ------- 0 0.0 1.0 36 54
+ 0.468467 1 0 ack 40 ------- 0 1.0 0.0 36 92
- 0.468467 1 0 ack 40 ------- 0 1.0 0.0 36 92
- 0.4704 0 1 tcp 1040 ------- 0 0.0 1.0 38 57
r 0.473733 1 0 ack 40 ------- 0 1.0 0.0 36 92
+ 0.473733 0 1 tcp 1040 ------- 0 0.0 1.0 56 93
r 0.4754 0 1 tcp 1040 ------- 0 0.0 1.0 37 56
+ 0.4754 1 0 ack 40 ------- 0 1.0 0.0 37 94
- 0.4754 1 0 ack 40 ------- 0 1.0 0.0 37 94
- 0.477333 0 1 tcp 1040 ------- 0 0.0 1.0 39 59
r 0.480667 1 0 ack 40 ------- 0 1.0 0.0 37 94
+ 0.480667 0 1 tcp 1040 ------- 0 0.0 1.0 57 95
r 0.482333 0 1 tcp 1040 ------- 0 0.0 1.0 38 57
+ 0.482333 1 0 ack 40 ------- 0 1.0 0.0 38 96
- 0.482333 1 0 ack 40 ------- 0 1.0 0.0 38 96
- 0.484267 0 1 tcp 1040 ------- 0 0.0 1.0 40 61
r 0.4876 1 0 ack 40 ------- 0 1.0 0.0 38 96
+ 0.4876 0 1 tcp 1040 ------- 0 0.0 1.0 58 97
r 0.489267 0 1 tcp 1040 ------- 0 0.0 1.0 39 59
+ 0.489267 1 0 ack 40 ------- 0 1.0 0.0 39 98
- 0.489267 1 0 ack 40 ------- 0 1.0 0.0 39 98
- 0.4912 0 1 tcp 1040 ------- 0 0.0 1.0 41 63
r 0.494533 1 0 ack 40 ------- 0 1.0 0.0 39 98
+ 0.494533 0 1 tcp 1040 ------- 0 0.0 1.0 59 99
r 0.4962 0 1 tcp 1040 ------- 0 0.0 1.0 40 61
+ 0.4962 1 0 ack 40 ------- 0 1.0 0.0 40 100
- 0.4962 1 0 ack 40 ------- 0 1.0 0.0 40 100
- 0.498133 0 1 tcp 1040 ------- 0 0.0 1.0 42 65
r 0.501467 1 0 ack 40 ------- 0 1.0 0.0 40 100
+ 0.501467 0 1 tcp 1040 ------- 0 0.0 1.0 60 101
r 0.503133 0 1 tcp 1040 ------- 0 0.0 1.0 41 63
+ 0.503133 1 0 ack 40 ------- 0 1.0 0.0 41 102
- 0.503133 1 0 ack 40 ------- 0 1.0 0.0 41 102
- 0.505067 0 1 tcp 1040 ------- 0 0.0 1.0 43 67
r 0.5084 1 0 ack 40 ------- 0 1.0 0.0 41 102
+ 0.5084 0 1 tcp 1040 ------- 0 0.0 1.0 61 103
r 0.510067 0 1 tcp 1040 ------- 0 0.0 1.0 42 65
+ 0.510067 1 0 ack 40 ------- 0 1.0 0.0 42 104
- 0.510067 1 0 ack 40 ------- 0 1.0 0.0 42 104
